year,cpi_2025_base
1978,20.252
1979,22.55
1980,25.596
1981,28.237
1982,29.978
1983,30.941
1984,32.266
1985,33.414
1986,34.035
1987,35.277
1988,36.736
1989,38.514
1990,40.597
1991,42.305
1992,43.579
1993,44.883
1994,46.026
1995,47.327
1996,48.723
1997,49.841
1998,50.618
1999,51.734
2000,53.47
2001,54.991
2002,55.86
2003,57.137
2004,58.657
2005,60.641
2006,62.594
2007,64.379
2008,66.853
2009,66.615
2010,67.707
2011,69.837
2012,71.287
2013,72.342
2014,73.511
2015,73.598
2016,74.527
2017,76.114
2018,77.973
2019,79.387
2020,80.366
2021,84.142
2022,90.956
2023,94.7
2024,97.493
2025,100.0
